No;Tahun;Kabupaten/Kota;Jumlah Kasus TBC;Succes Rate Kasus TBC;Jumlah Kematian Kasus TBC;Jumlah Rumah Sakit Umum;Jumlah Rumah Sakit Khusus;Puskesmas;Jumlah Klinik Pratama;Total FasKes;Kepadatan / Km2;Kemiskinan;Latitude;Longitude
1;2020;Cilacap;3951;2645;83;11;1;55;32;99;915;11,46;-7,7158568;108,9909857
2;2020;Banyumas;4213;3869;67;16;7;63;34;120;1331;13,26;-7,4546306;109,0037617
3;2020;Purbalingga;1366;1211;38;7;1;33;16;57;1474;15,90;-7,3269695;109,2392833
4;2020;Banjarnegara;1263;1159;34;4;0;55;6;65;994;15,64;-7,3555864;109,4747613
5;2020;Kebumen;2548;2382;61;11;0;59;13;83;1114;17,59;-7,6435694;109,4445137
6;2020;Purworejo;763;647;39;10;2;42;10;64;705;11,78;-7,7076377;109,8051532
7;2020;Wonosobo;1884;1858;8;3;1;40;7;51;896;17,36;-7,3994258;109,7408687
8;2020;Magelang;773;694;31;6;0;55;16;77;1179;11,27;-7,5131949;110,0799588
9;2020;Boyolali;1491;891;21;11;0;37;18;66;1054;10,18;-7,3867208;110,4418277
10;2020;Klaten;1322;947;83;9;3;53;17;82;1915;12,89;-7,6746231;110,5405109
11;2020;Sukoharjo;744;684;34;8;2;14;32;56;1856;7,68;-7,6824759;110,6666228
12;2020;Wonogiri;1083;991;56;9;0;63;8;80;582;10,86;-7,9615369;110,8719263
13;2020;Karanganyar;573;541;6;7;1;27;26;61;1202;10,28;-7,6192270;110,7866142
14;2020;Sragen;872;873;22;10;1;29;26;66;1038;13,38;-7,3919058;110,7973292
15;2020;Grobogan;1202;628;33;9;0;47;10;66;722;12,46;-7,1282961;110,7293894
16;2020;Blora;1366;1289;38;6;0;42;15;63;490;11,96;-7,1101832;111,2033983
17;2020;Rembang;972;883;31;3;0;19;3;25;727;15,60;-6,7694848;111,2975816
18;2020;Pati;1754;1533;114;10;0;45;45;100;889;10,08;-6,7032850;110,7074074
19;2020;Kudus;1589;1485;37;7;3;28;24;62;1997;7,31;-6,7972812;110,7031673
20;2020;Jepara;1236;1170;27;6;0;28;22;56;1119;7,17;-6,2602431;110,2400804
21;2020;Demak;1653;1501;25;4;0;43;33;80;1338;12,54;-6,9226798;110,4831422
22;2020;Semarang;1017;937;11;5;0;40;36;81;1108;7,51;-7,2874221;110,2917978
23;2020;Temanggung;664;583;25;4;0;48;6;58;943;9,96;-7,2395287;109,9667067
24;2020;Kendal;1518;1356;30;5;0;50;14;69;911;9,99;-7,0200369;109,9745892
25;2020;Batang;1207;1069;40;3;0;37;7;47;1017;9,13;-7,0316319;109,6985733
26;2020;Pekalongan;1267;1230;23;3;1;46;5;55;1157;10,19;-7,0415109;109,4762593
27;2020;Pemalang;1947;1759;25;9;0;43;13;65;1316;16,02;-7,0101725;109,2275803
28;2020;Tegal;3497;3220;154;8;1;48;23;80;1823;8,14;-7,0554558;108,9911053
29;2020;Brebes;3054;2288;38;13;1;53;20;87;1040;17,03;-7,0444059;108,6046304
30;2020;Kota Magelang;1073;821;34;6;2;10;6;24;7567;7,58;-7,4729668;110,1763247
31;2020;Kota Surakarta;1803;1596;95;15;4;29;25;73;11353;9,03;-7,5591220;110,7776124
32;2020;Kota Salatiga;826;799;8;4;2;11;16;33;3353;4,94;-7,3262106;110,4764858
33;2020;Kota Semarang;4304;2927;18;20;9;61;112;202;4424;4,34;-7,0245522;110,3346637
34;2020;Kota Pekalongan;778;697;33;9;0;24;6;39;6788;7,17;-6,8937190;109,6371488
35;2020;Kota Tegal;2342;1954;19;3;1;15;9;28;6901;7,80;-6,8697224;109,0977415
36;2021;Cilacap;2848;2443;122;12;1;38;59;110;924;11,67;-7,7158568;108,9909857
37;2021;Banyumas;3406;2684;191;17;7;40;54;118;1340;13,66;-7,4546306;109,0037617
38;2021;Purbalingga;1067;915;37;7;1;22;21;51;1487;16,24;-7,3269695;109,2392833
39;2021;Banjarnegara;894;825;30;4;0;35;12;51;1003;16,23;-7,3555864;109,4747613
40;2021;Kebumen;1896;1602;126;11;0;35;25;71;1124;17,83;-7,6435694;109,4445137
41;2021;Purworejo;541;397;38;10;2;27;15;54;709;12,40;-7,7076377;109,8051532
42;2021;Wonosobo;1095;905;29;3;1;24;24;52;903;17,67;-7,3994258;109,7408687
43;2021;Magelang;662;576;24;6;0;29;23;58;1184;11,91;-7,5131949;110,0799588
44;2021;Boyolali;457;363;24;12;0;25;24;61;1061;10,62;-7,3867208;110,4418277
45;2021;Klaten;702;613;25;9;3;34;19;65;1925;13,49;-7,6746231;110,5405109
46;2021;Sukoharjo;663;613;29;8;2;12;70;92;1864;8,23;-7,6824759;110,6666228
47;2021;Wonogiri;692;602;52;9;0;34;18;61;585;11,55;-7,9615369;110,8719263
48;2021;Karanganyar;416;380;9;7;1;21;44;73;1211;10,68;-7,6192270;110,7866142
